frame,label,score,x1,y1,x2,y2,cx,cy,patch
74,RED,78.729736328125,352,272,416,336,384,304,64
74,GREEN,41.312835693359375,256,288,320,352,288,320,64
74,GREEN,4.76821231842041,240,176,304,240,272,208,64
74,BLUE,19.965965270996094,240,224,304,288,272,256,64
75,RED,108.82723999023438,176,352,240,416,208,384,64
75,RED,81.36332702636719,352,272,416,336,384,304,64
75,GREEN,40.41767120361328,256,288,320,352,288,320,64
75,GREEN,4.441649913787842,160,288,224,352,192,320,64
75,BLUE,18.300243377685547,240,224,304,288,272,256,64
76,RED,109.12836456298828,176,352,240,416,208,384,64
76,RED,83.1502456665039,352,272,416,336,384,304,64
76,GREEN,41.24408721923828,256,288,320,352,288,320,64
76,GREEN,4.9670891761779785,160,288,224,352,192,320,64
76,BLUE,17.72900390625,240,224,304,288,272,256,64
77,RED,108.81913757324219,176,352,240,416,208,384,64
77,RED,85.9036636352539,352,272,416,336,384,304,64
77,GREEN,40.08070755004883,256,288,320,352,288,320,64
77,GREEN,4.895409107208252,160,288,224,352,192,320,64
77,BLUE,15.941600799560547,240,224,304,288,272,256,64
78,RED,108.8644027709961,176,352,240,416,208,384,64
78,RED,87.927978515625,352,272,416,336,384,304,64
78,GREEN,40.95722198486328,256,288,320,352,288,320,64
78,GREEN,5.13539981842041,160,288,224,352,192,320,64
78,BLUE,16.066162109375,240,224,304,288,272,256,64
79,RED,108.58309936523438,176,352,240,416,208,384,64
79,RED,89.98676300048828,352,272,416,336,384,304,64
79,GREEN,40.127681732177734,256,288,320,352,288,320,64
79,GREEN,5.096435070037842,160,288,224,352,192,320,64
79,BLUE,14.008495330810547,240,224,304,288,272,256,64
80,RED,109.30746459960938,176,352,240,416,208,384,64
80,RED,91.38749694824219,352,272,416,336,384,304,64
80,GREEN,41.13935089111328,256,288,320,352,288,320,64
80,GREEN,5.3892083168029785,160,288,224,352,192,320,64
80,BLUE,15.71806526184082,832,64,896,128,864,96,64
81,RED,109.03329467773438,176,352,240,416,208,384,64
81,RED,93.3406753540039,352,272,416,336,384,304,64
81,GREEN,40.29960250854492,256,288,320,352,288,320,64
81,GREEN,5.377684593200684,160,288,224,352,192,320,64
81,BLUE,15.944042205810547,832,64,896,128,864,96,64
82,RED,109.4024887084961,176,352,240,416,208,384,64
82,RED,95.1048355102539,352,272,416,336,384,304,64
82,GREEN,40.39716339111328,256,288,320,352,288,320,64
82,GREEN,5.5637688636779785,160,288,224,352,192,320,64
82,BLUE,17.999168395996094,832,64,896,128,864,96,64
83,RED,109.1122055053711,176,352,240,416,208,384,64
83,RED,95.8189926147461,352,272,416,336,384,304,64
83,GREEN,39.402339935302734,256,288,320,352,288,320,64
83,GREEN,5.505516529083252,160,288,224,352,192,320,64
83,BLUE,17.553955078125,832,64,896,128,864,96,64
84,RED,109.2210922241211,176,352,240,416,208,384,64
84,RED,95.9388656616211,352,272,416,336,384,304,64
84,GREEN,40.09403610229492,256,288,320,352,288,320,64
84,GREEN,5.616796016693115,160,288,224,352,192,320,64
84,BLUE,18.855125427246094,832,64,896,128,864,96,64
85,RED,108.85380554199219,176,352,240,416,208,384,64
85,RED,96.5137710571289,352,272,416,336,384,304,64
85,GREEN,39.97406768798828,256,288,320,352,288,320,64
85,GREEN,5.702293872833252,160,288,224,352,192,320,64
85,BLUE,15.82109260559082,832,64,896,128,864,96,64
86,RED,109.03280639648438,176,352,240,416,208,384,64
86,RED,96.96977233886719,352,272,416,336,384,304,64
86,GREEN,40.53739547729492,256,288,320,352,288,320,64
86,GREEN,5.92910099029541,160,288,224,352,192,320,64
86,BLUE,17.624755859375,832,64,896,128,864,96,64
87,RED,108.7906723022461,176,352,240,416,208,384,64
87,RED,97.13261413574219,352,272,416,336,384,304,64
87,GREEN,40.178070068359375,256,288,320,352,288,320,64
87,GREEN,5.9177727699279785,160,288,224,352,192,320,64
87,BLUE,16.229589462280273,832,64,896,128,864,96,64
88,RED,108.568115234375,176,352,240,416,208,384,64
88,RED,97.4862289428711,352,272,416,336,384,304,64
88,GREEN,40.990081787109375,256,288,320,352,288,320,64
88,GREEN,6.147704601287842,160,288,224,352,192,320,64
88,BLUE,18.387451171875,832,64,896,128,864,96,64
89,RED,108.630615234375,176,352,240,416,208,384,64
89,RED,98.63993835449219,352,272,416,336,384,304,64
89,GREEN,39.95365905761719,256,288,320,352,288,320,64
89,GREEN,5.915770530700684,160,288,224,352,192,320,64
89,BLUE,18.060253143310547,832,64,896,128,864,96,64
90,RED,108.83710479736328,176,352,240,416,208,384,64
90,RED,98.8426742553711,352,272,416,336,384,304,64
90,GREEN,40.16981887817383,256,288,320,352,288,320,64
90,GREEN,5.93496036529541,160,288,224,352,192,320,64
90,BLUE,20.069530487060547,832,64,896,128,864,96,64
91,RED,109.04232788085938,176,352,240,416,208,384,64
91,RED,99.3841323852539,352,272,416,336,384,304,64
91,GREEN,39.88066101074219,256,288,320,352,288,320,64
91,GREEN,5.83632755279541,160,288,224,352,192,320,64
91,BLUE,19.01494026184082,832,64,896,128,864,96,64
92,RED,109.35287475585938,176,352,240,416,208,384,64
92,RED,99.903564453125,352,272,416,336,384,304,64
92,GREEN,39.81996536254883,256,288,320,352,288,320,64
92,GREEN,5.8447747230529785,160,288,224,352,192,320,64
92,BLUE,20.09423828125,832,64,896,128,864,96,64
93,RED,109.15145874023438,176,352,240,416,208,384,64
93,RED,100.4866714477539,352,272,416,336,384,304,64
93,GREEN,39.795989990234375,256,288,320,352,288,320,64
93,GREEN,5.6819329261779785,160,288,224,352,192,320,64
93,BLUE,19.47880744934082,832,64,896,128,864,96,64
94,RED,109.392578125,176,352,240,416,208,384,64
94,RED,100.2989273071289,352,272,416,336,384,304,64
94,GREEN,40.35527038574219,256,288,320,352,288,320,64
94,GREEN,5.664696216583252,160,288,224,352,192,320,64
94,BLUE,20.80473518371582,832,64,896,128,864,96,64
95,RED,109.490478515625,176,352,240,416,208,384,64
95,RED,100.2789535522461,352,272,416,336,384,304,64
95,GREEN,39.92811965942383,256,288,320,352,288,320,64
95,GREEN,5.6013665199279785,160,288,224,352,192,320,64
95,BLUE,20.529296875,832,64,896,128,864,96,64
96,RED,109.81635284423828,176,352,240,416,208,384,64
96,RED,100.0867691040039,352,272,416,336,384,304,64
96,GREEN,40.50092315673828,256,288,320,352,288,320,64
96,GREEN,5.639305591583252,160,288,224,352,192,320,64
96,BLUE,21.097557067871094,832,64,896,128,864,96,64
97,RED,109.64852905273438,176,352,240,416,208,384,64
97,RED,101.5313949584961,352,272,416,336,384,304,64
97,GREEN,39.87113571166992,256,288,320,352,288,320,64
97,GREEN,5.659764766693115,160,288,224,352,192,320,64
97,BLUE,20.941015243530273,832,64,896,128,864,96,64
98,RED,109.6991195678711,176,352,240,416,208,384,64
98,RED,101.34101867675781,352,272,416,336,384,304,64
98,GREEN,40.57875442504883,256,288,320,352,288,320,64
