INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-06-06T13:00:00-00:00,2025-06-06T14:00:00-00:00,2025-06-06,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2025-06-06T15:00:00-00:00,2025-06-06T16:00:00-00:00,2025-06-06,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-2.46851,2
2025-06-06T20:00:00-00:00,2025-06-06T21:00:00-00:00,2025-06-06,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-7.15247,2
2025-06-07T05:00:00-00:00,2025-06-07T06:00:00-00:00,2025-06-06,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2025-06-06T08:00:00-00:00,2025-06-06T09:00:00-00:00,2025-06-06,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,38.09258,3
2025-06-07T01:00:00-00:00,2025-06-07T02:00:00-00:00,2025-06-06,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,43.2725,3
2025-06-06T15:00:00-00:00,2025-06-06T16:00:00-00:00,2025-06-06,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,22.05871,3
2025-06-06T19:00:00-00:00,2025-06-06T20:00:00-00:00,2025-06-06,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,20.90814,3
2025-06-06T22:00:00-00:00,2025-06-06T23:00:00-00:00,2025-06-06,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,23.84888,3
2025-06-06T13:00:00-00:00,2025-06-06T14:00:00-00:00,2025-06-06,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,39.40559,3
2025-06-06T21:00:00-00:00,2025-06-06T22:00:00-00:00,2025-06-06,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,23.7014,3
2025-06-06T17:00:00-00:00,2025-06-06T18:00:00-00:00,2025-06-06,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,21.88306,3
2025-06-06T11:00:00-00:00,2025-06-06T12:00:00-00:00,2025-06-06,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,37.67021,3
2025-06-06T10:00:00-00:00,2025-06-06T11:00:00-00:00,2025-06-06,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,36.89899,3
2025-06-07T03:00:00-00:00,2025-06-07T04:00:00-00:00,2025-06-06,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,52.03589,3
